name,slug,type,regular_price,sale_price,description,short_description,categories,tags,images,stock_status,manage_stock,stock_quantity,meta:saeg_unit,meta:saeg_price_per_kg,meta:saeg_step_kg,meta:saeg_min_kg,meta:saeg_stock_kg,meta:saeg_is_daily_surplus,meta:saeg_origin
Banane plantain,banane-plantain,simple,900,,Plantain local idéal pour alloco, frites de plantain et plats familiaux.,Plantain frais de producteurs locaux (vente au kilo).,"Tubercules & Plantain","Invendus du jour,Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Banane+plantain,instock,yes,,kg,900,0.25,0.25,25,1,Producteurs locaux
Manioc,manioc,simple,700,,Manioc frais pour bâtons de manioc, foufou et accompagnements.,Manioc frais (vente au kilo).,"Tubercules & Plantain","Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Manioc,instock,yes,,kg,700,0.25,0.25,30,0,Producteurs locaux
Igname,igname,simple,1200,,Igname ferme pour bouillis et sauces gabonaises.,Igname local vendu au kilo.,"Tubercules & Plantain","Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Igname,instock,yes,,kg,1200,0.25,0.25,18,0,Producteurs locaux
Patate douce,patate-douce,simple,800,,Patate douce douce et farineuse pour purées et fritures.,Patate douce fraîche au kilo.,"Tubercules & Plantain","Invendus du jour,Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Patate+douce,instock,yes,,kg,800,0.25,0.25,22,1,Producteurs locaux
Taro Macabo,taro-macabo,simple,1000,,Macabo/taro pour sauces et bouillis traditionnels.,Taro/Macabo vendu au kilo.,"Tubercules & Plantain","Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Taro+Macabo,instock,yes,,kg,1000,0.25,0.25,16,0,Producteurs locaux
Viande de bœuf,viande-boeuf,simple,4200,3900,Viande de bœuf fraîche pour sauce tomate, brochettes et ragoûts.,Bœuf frais vendu au kilo.,Viandes,"Invendus du jour,Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Boeuf,instock,yes,,kg,4200,0.25,0.25,12,1,Bouchers locaux
Viande de porc,viande-porc,simple,3800,,Porc frais pour grillades et mijotés.,Porc frais vendu au kilo.,Viandes,"Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Porc,instock,yes,,kg,3800,0.25,0.25,10,0,Bouchers locaux
Viande de mouton,viande-mouton,simple,5000,4600,Viande de mouton pour sauces riches et fêtes.,Mouton frais vendu au kilo.,Viandes,"Invendus du jour,Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Mouton,instock,yes,,kg,5000,0.25,0.25,8,1,Bouchers locaux
Poulet,poulet,simple,3000,,Poulet frais coupé pour sauces et grillades.,Poulet frais vendu au kilo.,Viandes,"Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Poulet,instock,yes,,kg,3000,0.25,0.25,14,0,Éleveurs locaux
Tomate,tomate,simple,1000,850,Tomates fraîches pour sauces, salades et cuisson quotidienne.,Tomate fraîche (vente au kilo).,Légumes,"Invendus du jour,Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Tomate,instock,yes,,kg,1000,0.25,0.25,20,1,Producteurs locaux
Oignon,oignon,simple,900,,Oignons pour base aromatique de la cuisine gabonaise.,Oignon frais au kilo.,Légumes,"Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Oignon,instock,yes,,kg,900,0.25,0.25,18,0,Producteurs locaux
Piment,piment,simple,1500,,Piment frais pour relever sauces et marinades.,Piment frais au kilo.,Légumes,"Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Piment,instock,yes,,kg,1500,0.25,0.25,6,0,Producteurs locaux
Gombo,gombo,simple,1100,,Gombo tendre pour sauces gluantes traditionnelles.,Gombo frais au kilo.,Légumes,"Invendus du jour,Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Gombo,instock,yes,,kg,1100,0.25,0.25,9,1,Producteurs locaux
Aubergine,aubergine,simple,950,,Aubergines pour sauces et plats mijotés.,Aubergine fraîche au kilo.,Légumes,"Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Aubergine,instock,yes,,kg,950,0.25,0.25,11,0,Producteurs locaux
Chou,chou,simple,700,,Chou frais pour sautés et accompagnements.,Chou frais au kilo.,Légumes,"Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Chou,instock,yes,,kg,700,0.25,0.25,13,0,Producteurs locaux
Carotte,carotte,simple,1200,,Carottes fraîches pour sauces, salades et garnitures.,Carottes fraîches au kilo.,Légumes,"Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Carotte,instock,yes,,kg,1200,0.25,0.25,10,0,Producteurs locaux
Avocat,avocat,simple,1800,,Avocats mûrs pour salades et accompagnements.,Avocat frais au kilo.,Fruits,"Invendus du jour,Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Avocat,instock,yes,,kg,1800,0.25,0.25,7,1,Producteurs locaux
Ananas,ananas,simple,1500,,Ananas sucré, idéal en dessert et jus frais.,Ananas vendu à l'unité.,Fruits,"Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Ananas,instock,yes,40,unite,,1,1,,0,Producteurs locaux
Papaye,papaye,simple,1400,,Papaye locale pour jus et desserts.,Papaye vendue à l'unité.,Fruits,"Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Papaye,instock,yes,35,unite,,1,1,,0,Producteurs locaux
Mangue,mangue,simple,1300,1100,Mangues de saison sucrées pour jus et dessert.,Mangue de saison au kilo.,Fruits,"Invendus du jour,Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Mangue,instock,yes,,kg,1300,0.25,0.25,15,1,Producteurs locaux
Citron,citron,simple,1000,,Citrons frais pour boissons et assaisonnement.,Citron frais au kilo.,Fruits,"Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Citron,instock,yes,,kg,1000,0.25,0.25,9,0,Producteurs locaux
Oeufs (plateau),oeufs-plateau,simple,3500,,Plateau d'œufs pour cuisine familiale.,Plateau d'œufs vendu à l'unité.,"Produits transformés","Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Oeufs+plateau,instock,yes,20,unite,,1,1,,0,Aviculteurs locaux
Pack Panier invendus du jour – Petit,pack-invendus-petit,simple,5000,4200,Pack mix anti-gaspillage (fruits/légumes) selon arrivage du jour.,Pack anti-gaspillage petit format.,"Packs Anti-gaspillage","Invendus du jour,Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Pack+Petit,instock,yes,12,unite,,1,1,,1,Marché SAEG
Pack Panier invendus du jour – Familial,pack-invendus-familial,simple,9000,7600,Pack mix anti-gaspillage grand format pour famille.,Pack anti-gaspillage familial.,"Packs Anti-gaspillage","Invendus du jour,Origine : producteurs locaux",https://via.placeholder.com/800x800.png?text=Pack+Familial,instock,yes,8,unite,,1,1,,1,Marché SAEG
